"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"1226 SQ FT APARTMENT IS UP FOR SALE AT LAL KHAN BAZAAR NEAR TO CHATOGRAM GOVERNMENT WOMEN&AMP;#039;S COLLEGE";3;3;7;"VACANT";1226;"CHATTOGRAM";7000000;"14 NO. LALKHAN BAZAAR WARD, LAL KHAN BAZAAR";5709.6248
"1230 SQ FT FLAT WITH ALL THE OPTIMISTIC HOME APPROACHES IS UP FOR SALE IN DOUBLE MOORING";3;3;7;"VACANT";1230;"CHATTOGRAM";9500000;"28 NO. PATHANTOOLY WARD, DOUBLE MOORING";7723.5772
"1235 SQUARE FEET APARTMENT IS FOR SALE NEAR ABDUL HAMID SAWDAGAR HIGH SCHOOL";3;3;10;"VACANT";1235;"CHATTOGRAM";4100000;"6 NO EAST SHOLOSHOHOR WARD, BAKALIA";3319.8381
"1236 SQ FT READY FLAT IS UP FOR SALE IN KAFRUL.";3;3;3;"VACANT";1236;"DHAKA";7000000;"SOUTH KAFRUL ROAD, KAFRUL";5663.4304
"1239 SQ FT CONVENIENT APARTMENT IS HERE READY FOR SALE IN WOMEN COLLAGE ROAD, KANDIRPAR";3;3;2;"VACANT";1239;"CUMILLA";6700000;"MANOHARPUR, KANDIRPAR";5407.5868
"1240 SQ FT DELIGHTFUL FLAT FOR SALE IN GAZIPUR, JOYDEPUR";3;3;7;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT FOR SALE IS ASSURING YOU AN OVERWHELMING HOME EXPERIENCE IN GAZIPUR, JOYDEBPUR";3;3;8;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT FOR SALE IS AWAITING YOU IN GAZIPUR, JOYDEBPUR";3;3;9;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT FOR SALE IS INVITING YOU FOR A PEACEFUL HOME EXPERIENCE IN GAZIPUR, JOYDEBPUR";3;3;9;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT FOR SALE IS OFFERING YOU BEAUTIFUL ATMOSPHERE TO LIVE IN, INSIDE GAZIPUR, JOYDEBPUR";3;3;8;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT FOR SALE IS READY TO OFFER YOU A TRANQUIL HOME EXPERIENCE IN GAZIPUR, JOYDEBPUR";3;3;8;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT FOR SALE IS READY TO OFFER YOU NECESSARY DWELLING FEATURES IN GAZIPUR, JOYDEBPUR";3;3;8;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT WITH 3 BEDROOMS IS FOR SALE IN GAZIPUR, JOYDEBPUR";3;3;8;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT FLAT WITH NICE BALCONY VIEWS IS SET FOR SALE IN GAZIPUR";3;3;4;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQ FT MODEST FLAT FOR SALE IN GAZIPUR, SPECIFICALLY JOYDEBPUR";3;3;6;"VACANT";1240;"GAZIPUR";4960000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"1240 SQUARE FEET FLAT FOR SALE IN THE LOCATION OF SHAH ALI BAG";3;3;5;"VACANT";1240;"DHAKA";7320000;"SECTION 1, MIRPUR";5903.2258
"1244 SQ FT FLAT FOR SALE AT NORTH HALISHAHAR WARD";3;3;5;"VACANT";1244;"CHATTOGRAM";6500000;"26 NO. NORTH HALISHAHAR WARD, HALISHAHAR";5225.0804
"1248 SQ.FT FLAT FOR SALE VERY NEXT TO KHILKHET BAZAR MASJID AT DUMNI .";3;3;2;"VACANT";1248;"DHAKA";3244800;"BAZAR ROAD, DUMNI";2600.0
"1250 SQ FT APARTMENT FOR SALE IN MADARTEK, BASHABO";3;2;4;"VACANT";1250;"DHAKA";7400000;"MADARTEK, BASHABO";5920.0
"1250 SQ FT FLAT FOR SALE AT BAYAZID, POLYTECHNIC";3;3;6;"VACANT";1250;"CHATTOGRAM";6000000;"POLYTECHNIC, BAYAZID";4800.0
"1250 SQ FT FLAT IS BEING CONSTRUCTED FOR SALE IN BADDA, MERUL BADDA";3;3;3;"VACANT";1250;"DHAKA";7500000;"MERUL BADDA, BADDA";6000.0
"1250 SQ FT FLAT IS NOW FOR SALE IN 9 NO. NORTH PAHARTALI WARD";3;3;2;"VACANT";1250;"CHATTOGRAM";7000000;"AKBARSHAH RAILWAY COLONY, 9 NO. NORTH PAHARTALI WARD";5600.0
"1250 SQ FT FLAT IS NOW TO SELL WHICH IS IN DOUBLE MOORING NEAR TO DBBL ATM";3;3;4;"VACANT";1250;"CHATTOGRAM";5000000;"12 NO. SARAI PARA WARD, DOUBLE MOORING";4000.0
"1250 SQ FT NICE FLAT IS UP FOR SALE AT BAYEZID DREAMLAND RESIDENTIAL AREA, BAYAZID";3;3;4;"VACANT";1250;"CHATTOGRAM";4800000;"DREAMLAND RESIDENTIAL AREA, BAYAZID";3840.0
"1250 SQ FT RESIDENTIAL FLAT FOR SALE IN MIRPUR, PIRERBAG";3;3;2;"VACANT";1250;"DHAKA";7000000;"PIRERBAG, MIRPUR";5600.0
"1250 SQ FT RESIDENTIAL FLAT FOR SALE IN MIRPUR, WEST MONIPUR";3;3;6;"VACANT";1250;"DHAKA";8000000;"WEST MONIPUR, MIRPUR";6400.0
"1250 SQ FT RESIDENTIAL FLAT FOR SALE IN WEST MONIPUR, MIRPUR";3;3;5;"VACANT";1250;"DHAKA";8000000;"WEST MONIPUR, MIRPUR";6400.0
"1250 SQ FT RESIDENTIAL FLAT WITH GREAT HOME FEATURES FOR SALE IN MIRPUR, DAKKHIN PAIKPARA";3;3;7;"VACANT";1250;"DHAKA";8200000;"DAKKHIN PAIKPARA, MIRPUR";6560.0
"1250 SQ FT RESIDENTIAL PROPERTY IS AVAILABLE FOR SALE IN HAZARIBAG, RAYER BAZAAR";3;3;6;"VACANT";1250;"DHAKA";10800000;"RAYER BAZAAR, HAZARIBAG";8640.0
"1250 SQ FT RESIDENTIAL PROPERTY IS SET FOR SALE IN MIRPUR, KALLYANPUR";3;3;1;"VACANT";1250;"DHAKA";7500000;"KALLYANPUR, MIRPUR";6000.0
"1250 SQUARE FEET RESIDENTIAL FLAT FOR SALE IN DAKSHIN KHAN, FAYDABAD";3;3;4;"VACANT";1250;"DHAKA";7000000;"FAYDABAD, DAKSHIN KHAN";5600.0
"1250 SQUARE FEET-3 BEDROOM RESIDENTIAL APARTMENT FOR SALE CLOSE TO EAST AHMED NAGAR BAITUL EKRAM MASJID.";3;3;2;"VACANT";1250;"DHAKA";5250000;"AHMED NAGAR, MIRPUR";4200.0
"1252 SQ.FT APARTMENT FOR SALE IN BADDA NEARBY BADDA POST OFFICE";3;3;2;"VACANT";1252;"DHAKA";7000000;"UTTAR BADDA, BADDA";5591.0543
"1254 SQ FT FLAT FOR SALE IN KALACHANDPUR";3;3;6;"VACANT";1254;"DHAKA";8300000;"";6618.8198
